Processing Dashboard opened

Checking Row 1
Document opened
Header 0: #
Header 1: Product Description
Header 2: FSN Code
Header 3: Article Code
Header 4: Unit Price
Header 5: Quantity
Valid document found.
Quantity column index = 5
Row 71 Quantity = 11.0
Row 72 Quantity = 2.0
Row 73 Quantity = 15.0
Row 74 Quantity = 195.0
Row 75 Quantity = 51.0
Row 76 Quantity = 4.0
Row 77 Quantity = 17.0
Row 78 Quantity = 2.0
Row 79 Quantity = 4.0
Row 80 Quantity = 4.0
Row 81 Quantity = 240.0
Row 82 Quantity = 6.0
Row 83 Quantity = 2.0
Row 84 Quantity = 15.0
Row 85 Quantity = 300.0
Row 86 Quantity = 5.0
Row 87 Quantity = 3.0
Row 88 Quantity = 11.0
Row 89 Quantity = 8.0
Row 90 Quantity = 1.0
Row 91 Quantity = 1.0
Row 92 Quantity = 23.0
Row 93 Quantity = 53.0
Row 94 Quantity = 1.0
Row 95 Quantity = 1.0
Row 96 Quantity = 4.0
Row 97 Quantity = 2.0
Row 98 Quantity = 1.0
Row 99 Quantity = 1.0
Row 100 Quantity = 19.0
Row 101 Quantity = 9.0
Row 102 Quantity = 9.0
Row 103 Quantity = 640.0
Row 104 Quantity = 400.0
Row 105 Quantity = 2.0
Row 106 Quantity = 7.0
Row 107 Quantity = 16.0
Row 108 Quantity = 31.0
Row 109 Quantity = 3.0
Row 110 Quantity = 63.0
Row 111 Quantity = 80.0
Row 112 Quantity = 29.0
Row 113 Quantity = 2.0
Row 114 Quantity = 3.0
Row 115 Quantity = 1.0
Row 116 Quantity = 2.0
Row 117 Quantity = 40.0
Row 118 Quantity = 4.0
Row 119 Quantity = 3.0
Row 120 Quantity = 90.0
Row 121 Quantity = 18.0
Row 122 Quantity = 1080.0
Row 123 Quantity = 3.0
Row 124 Quantity = 9.0
Row 125 Quantity = 488.0
Row 126 Quantity = 9.0
Row 127 Quantity = 11.0
Row 128 Quantity = 2.0
Row 129 Quantity = 4.0
Row 130 Quantity = 9.0
Row 131 Quantity = 1.0
Row 132 Quantity = 1.0
Row 133 Quantity = 8.0
Row 134 Quantity = 1.0
Row 135 Quantity = 5.0
Row 136 Quantity = 2.0
Row 137 Quantity = 1.0
Row 138 Quantity = 2.0
Row 139 Quantity = 8.0
Row 140 Quantity = 58.0
Row 141 Quantity = 33.0
Row 142 Quantity = 6.0
Row 143 Quantity = 1.0
Row 144 Quantity = 11.0
Row 145 Quantity = 32.0
Row 146 Quantity = 1.0
Row 147 Quantity = 8.0
Row 148 Quantity = 8.0
Row 149 Quantity = 3.0
Row 150 Quantity = 13.0
Row 151 Quantity = 17.0
Row 152 Quantity = 7.0
Row 153 Quantity = 14.0
Row 154 Quantity = 6.0
Row 155 Quantity = 8.0
Row 156 Quantity = 144.0
Row 157 Quantity = 81.0
Row 158 Quantity = 7.0
Row 159 Quantity = 12.0
Row 160 Quantity = 18.0
Row 161 Quantity = 16.0
Row 162 Quantity = 56.0
Row 163 Quantity = 1.0
Row 164 Quantity = 1.0
Row 165 Quantity = 12.0
Row 166 Quantity = 9.0
Row 167 Quantity = 11.0
Row 168 Quantity = 9.0
Row 169 Quantity = 32.0
Row 170 Quantity = 2.0
Row 171 Quantity = 52.0
Row 172 Quantity = 39.0
Row 173 Quantity = 44.0
Row 174 Quantity = 4.0
Row 175 Quantity = 23.0
Row 176 Quantity = 7.0
Row 177 Quantity = 3.0
Row 178 Quantity = 68.0
Row 179 Quantity = 336.0
Row 180 Quantity = 6.0
Row 181 Quantity = 11.0
Row 182 Quantity = 5.0
Row 183 Quantity = 231.0
Row 184 Quantity = 4.0
Validated 184 Quantity values
PASS : All Quantity values are greater than 0
